posx,posy,nombre,numero
89,48,Parqueadero Concha Acústica,NA
21,94,Parqueadero Cine y Televisión,NA
-121,188,Parqueadero Museo Natural,NA
1,3,Parqueadero CYT,NA
-52,32,Parqueadero Aulas,NA
-135,88,Parqueadero Biología,NA
-144,69,Parqueadero Patios Ingeniería,NA
35,-43,Parqueadero Ciencias,NA
89,-106,Parqueadero Agronomía,NA
28,-104,Parqueadero Veterinaria,NA
-4,-91,Parqueadero Medicina,NA
16,-161,Parqueadero Odontología,NA
-47,-197,Parqueadero Sociología,NA
-96,-219,Parqueadero Diseño Gráfico,NA
-139,-154,Parqueadero León de Greiff,NA
-211,-137,Parqueadero Entrada 30,NA
-185,-113,Parqueadero SINDU,NA
-176,-54,Parqueadero 311,NA
-120,-37,Parqueadero FEM,NA
-190,-22,Parqueadero Economía,NA
-158,-7,Parqueadero CADE,NA
-178,47,Parqueadero Ingeominas,NA
-58,141,Parqueadero IPARM,NA
-195,-218,Salida Vehícular Capilla,NA
-113,-257,Entrada Vehícular Capilla,NA
183,53,Portería Carrera 45,NA
-83,255,Portería Calle 53,NA
149,19,Nodos de conexiones,NA
86,-1,Nodos de conexiones,NA
74,37,Nodos de conexiones,NA
52,29,Nodos de conexiones,NA
63,-9,Nodos de conexiones,NA
14,52,Nodos de conexiones,NA
-8,61,Nodos de conexiones,NA
-48,84,Nodos de conexiones,NA
-55,107,Nodos de conexiones,NA
-59,218,Nodos de conexiones,NA
-101,185,Nodos de conexiones,NA
-118,204,Nodos de conexiones,NA
-118,161,Nodos de conexiones,NA
-100,94,Nodos de conexiones,NA
-94,69,Nodos de conexiones,NA
-129,61,Nodos de conexiones,NA
-171,21,Nodos de conexiones,NA
-194,14,Nodos de conexiones,NA
-164,-29,Nodos de conexiones,NA
-213,-121,Nodos de conexiones,NA
-225,-122,Nodos de conexiones,NA
-134,-175,Nodos de conexiones,NA
-155,-217,Nodos de conexiones,NA
-103,-244,Nodos de conexiones,NA
-53,-246,Nodos de conexiones,NA
41,-168,Nodos de conexiones,NA
1,-167,Nodos de conexiones,NA
14,-152,Nodos de conexiones,NA
72,-97,Nodos de conexiones,NA
76,-54,Nodos de conexiones,NA
36,-17,Nodos de conexiones,NA
-17,-117,Nodos de conexiones,NA
23,-136,Nodos de conexiones,NA
35,-105,Nodos de conexiones,NA
42,-43,Nodos de conexiones,NA
-141,6,Nodos de conexiones,NA
-204,-88,Nodos de conexiones,NA
